Name;DisplayName;GivenName;Surname;Company;SamAccountName;Mailnickname;EmployeeNumber;EmailAddress;HomePhone;StreetAddress;PostalCode;City;State;Office;Title;Password;Description;Id;Uid;UserPrincipalName 
Bernardo Ankunding;Ankunding, Bernardo;Bernardo;Ankunding;Contoso Ltd;AnkuB;bernardo.ankund;5379;bernardo.ankunding@email.com;+389 866.694.9162 x16903;18434 Morissette Rapids;86433;Geoffreyview;Indiana;Leschi (floor 8);Education Consultant;U8Z}i=rs;Leschi;5379;f8e11710-9f58-4d3b-b1ba-d2d7c9eaf2d0;bernardo.ankunding@contoso.com
Seymour Ankunding;Ankunding, Seymour;Seymour;Ankunding;Contoso Ltd;AnkuS;seymour.ankundi;8894;seymour.ankunding@email.com;+596 303-971-3572 x96461;6776 Sporer Loaf;72688-6625;Sundayfort;Arizona;Wallingford (floor 7);Dynamic Technician;Fs8'a2bn;Wallingford;8894;a311b2dc-3a7b-4791-9939-64c0935ad0bf;seymour.ankunding@contoso.com
Augustine Armstrong;Armstrong, Augustine;Augustine;Armstrong;Contoso Ltd;ArmsA;augustine.armst;1945;augustine.armstrong@email.com;+354 734.641.1528 x302;196 Hoppe Prairie;76899-1330;Alonzoport;Hawaii;ColumbiaCity (floor 2);Education Analyst;"""LHc35Y~";ColumbiaCity;1945;11c351d3-4a18-42e6-99af-c184af4ea7bf;augustine.armstrong@contoso.com
Lara Armstrong;Armstrong, Lara;Lara;Armstrong;Contoso Ltd;ArmsL;lara.armstrong;768;lara.armstrong@email.com;+359 1-783-172-2481 x136;6543 Bogan Brook;94495;Daniellaland;Kansas;Redmond (floor 3);Manufacturing Engineer;"iEp8Z*""?";Redmond;768;11e56cea-75c0-4bb9-afdf-50cf00eb4f29;lara.armstrong@contoso.com
Otilia Armstrong;Armstrong, Otilia;Otilia;Armstrong;Contoso Ltd;ArmsO;otilia.armstron;7581;otilia.armstrong@email.com;+686 981.324.8742 x3560;26872 Joey Mission;79532;West Archieland;Massachusetts;Madrona (floor 8);Legal Administrator;|_`41'MP;Madrona;7581;4e5c0977-8c61-4bee-a1ab-918e3550752e;otilia.armstrong@contoso.com
Evia Auer;Auer, Evia;Evia;Auer;Contoso Ltd;AuerE;evia.auer;9420;evia.auer@email.com;+1 988-653-0311 x9776;675 Anton Track;91496-4173;Princessfurt;Missouri;QueenAnneHill (floor 9);Accounting Agent;"G9ymw1""T";QueenAnneHill;9420;24305b31-3bdb-4215-8b85-f1291a8d58f2;evia.auer@contoso.com
Noah Auer;Auer, Noah;Noah;Auer;Contoso Ltd;AuerN;noah.auer;9071;noah.auer@email.com;+381 1-145-070-8596;439 Kemmer Stream;21888-3802;West Cayla;Indiana;Wedgewood (floor 1);Healthcare Associate;"ah?t3n;W";Wedgewood;9071;f6adcb9d-7605-465d-ab6d-1c8b6a66c605;noah.auer@contoso.com
Brunilda Aufderhar;Aufderhar, Brunilda;Brunilda;Aufderhar;Contoso Ltd;AufdB;brunilda.aufder;706;brunilda.aufderhar@email.com;+90 986-031-9602 x020;568 Jina Street;19177;Hartmannshire;New York;Pinehurst (floor 6);Internal Farming Officer;kfB|8mLr;Pinehurst;706;6fd798a9-cfe1-4287-a2ef-28d677e97387;brunilda.aufderhar@contoso.com
Alex Bahringer;Bahringer, Alex;Alex;Bahringer;Contoso Ltd;BahrA;alex.bahringer;9668;alex.bahringer@email.com;+966 1-210-446-8048 x332;21675 Johnson Meadow;09655-6491;Leciaside;Washington;Leschi (floor 6);Internal Associate;'zh8U2AR;Leschi;9668;045d3d62-6b60-450a-9afc-410384e0df15;alex.bahringer@contoso.com
Jenna Bahringer;Bahringer, Jenna;Jenna;Bahringer;Contoso Ltd;BahrJ;jenna.bahringer;423;jenna.bahringer@email.com;+30 220.624.5788;42480 Delorse Center;28671-8354;Port Carmine;Idaho;Sodo (floor 5);Sales Consultant;vE4_3*Kh;Sodo;423;ea33e58d-6673-4952-85be-7589ee67e682;jenna.bahringer@contoso.com
Drew Bailey;Bailey, Drew;Drew;Bailey;Contoso Ltd;BailD;drew.bailey;4617;drew.bailey@email.com;+95 882-348-3920 x1750;6998 Wiza Isle;36746;Lake Lindsayshire;Indiana;DennyRegrade (floor 3);Lead Banking Engineer;E`9*^x7C;DennyRegrade;4617;77b2fa10-f9c3-44a6-b8c1-2f32ec2399be;drew.bailey@contoso.com
Lisa Bailey;Bailey, Lisa;Lisa;Bailey;Contoso Ltd;BailL;lisa.bailey;500;lisa.bailey@email.com;+687 (857) 126-2934;537 Koss Roads;48252-2984;Grimeschester;New Jersey;Bellevue (floor 3);Senior Farming Coordinator;w5G}n2j`;Bellevue;500;9efaa5a2-00a2-43b4-b7b4-0d3470f33506;lisa.bailey@contoso.com
Augustus Balistreri;Balistreri, Augustus;Augustus;Balistreri;Contoso Ltd;BaliA;augustus.balist;5007;augustus.balistreri@email.com;+82 750-015-8227;98026 Lee Place;43900;Gibsonfurt;Kentucky;Leschi (floor 8);Advertising Consultant;^XpuAem5;Leschi;5007;710b7afb-0962-4d24-b5d7-cef5b8e792d1;augustus.balistreri@contoso.com
Scott Balistreri;Balistreri, Scott;Scott;Balistreri;Contoso Ltd;BaliS;scott.balistrer;6530;scott.balistreri@email.com;+269 730-640-4300 x521;3777 Hilpert Pines;75717;East Juan;Florida;Delridge (floor 8);Lead Administration Consultant;dAs^619X;Delridge;6530;1c9d41a1-1897-4514-9738-23f6b9549e78;scott.balistreri@contoso.com
Tobi Balistreri;Balistreri, Tobi;Tobi;Balistreri;Contoso Ltd;BaliT;tobi.balistreri;4677;tobi.balistreri@email.com;+686 507.926.7047 x7597;10786 Stark Islands;67063;Sengerville;New York;Wedgewood (floor 8);Investor Education Facilitator;er5_f`j9;Wedgewood;4677;a69f66fe-e9ca-4879-9b7a-40987545b76f;tobi.balistreri@contoso.com
Ezra Barrows;Barrows, Ezra;Ezra;Barrows;Contoso Ltd;BarrE;ezra.barrows;6164;ezra.barrows@email.com;+93 807-864-4449 x660;18838 Rippin Throughway;29019-7786;New Kylafort;Michigan;Eastlake (floor 2);Manufacturing Officer;3uzc{SiC;Eastlake;6164;61f6e9f3-620e-4d9f-913d-930e130a927f;ezra.barrows@contoso.com
Karmen Barrows;Barrows, Karmen;Karmen;Barrows;Contoso Ltd;BarrK;karmen.barrows;5628;karmen.barrows@email.com;+20 442-672-5967 x548;602 DuBuque Landing;21737;Strosinhaven;Colorado;Pinehurst (floor 9);Marketing Manager;"Dcb9Rn;G";Pinehurst;5628;0f69a0c5-3ede-473d-9b91-bcfd39969213;karmen.barrows@contoso.com
Meg Barrows;Barrows, Meg;Meg;Barrows;Contoso Ltd;BarrM;meg.barrows;2641;meg.barrows@email.com;+357 647.197.9037 x7504;113 Keebler Fords;87777;West Nickole;Alaska;DennyRegrade (floor 6);Consulting Strategist;as9rD1*w;DennyRegrade;2641;3eb228dd-b6ba-4f76-9144-d22a7a5226f3;meg.barrows@contoso.com
Bettyann Bartell;Bartell, Bettyann;Bettyann;Bartell;Contoso Ltd;BartB;bettyann.bartel;2852;bettyann.bartell@email.com;+351 1-325-275-6190 x39213;96015 Bogisich Stravenue;52220;Jeffereyfort;Missouri;MapleLeaf (floor 8);International Marketing Producer;|QY{6k=3;MapleLeaf;2852;60a61d55-3813-40ae-ac8b-2312ff4f87c8;bettyann.bartell@contoso.com
Faith Bartell;Bartell, Faith;Faith;Bartell;Contoso Ltd;BartF;faith.bartell;7575;faith.bartell@email.com;+227 226.875.9762 x2916;934 Feest Overpass;39287;New Jefferymouth;Pennsylvania;Madrona (floor 3);Accounting Coordinator;gD2k'ACQ;Madrona;7575;e702aca3-aa83-4f82-acee-a006c3c6afe5;faith.bartell@contoso.com
Louanne Bartoletti;Bartoletti, Louanne;Louanne;Bartoletti;Contoso Ltd;BartL;louanne.bartole;1761;louanne.bartoletti@email.com;+597 845-088-1342 x8154;17540 Schulist Branch;32552;Kutchmouth;West Virginia;QueenAnneHill (floor 1);Education Representative;k9*S1^qz;QueenAnneHill;1761;d41128e2-879b-4a32-8994-e2b82e6e4f57;louanne.bartoletti@contoso.com
Trevor Bartell;Bartell, Trevor;Trevor;Bartell;Contoso Ltd;BartT;trevor.bartell;8657;trevor.bartell@email.com;+212 (319) 730-9600 x1234;465 Cummerata Divide;21290;South Jackie;Kansas;CapitolHill (floor 1);Internal Real-Estate Developer;"1;F7d}vD";CapitolHill;8657;00cb9ff0-bbe1-4a45-b4a2-f90980aa60d3;trevor.bartell@contoso.com
Synthia Bashirian;Bashirian, Synthia;Synthia;Bashirian;Contoso Ltd;BashS;synthia.bashiri;284;synthia.bashirian@email.com;+258 762-159-6023 x930;867 Rafael Gateway;93067-2267;Gleasontown;Minnesota;Eastlake (floor 9);Senior Design Analyst;`rPKkfx4;Eastlake;284;9efca42d-d54b-4472-b37b-8e21feb5168b;synthia.bashirian@contoso.com
Esther Batz;Batz, Esther;Esther;Batz;Contoso Ltd;BatzE;esther.batz;105;esther.batz@email.com;+223 1-259-908-8951 x761;8499 Bertram Circles;15434;Eugenioshire;Washington;CapitolHill (floor 7);Administration Supervisor;*puJ96hc;CapitolHill;105;44458e96-03e2-414e-95f0-6dadcaf4aeb5;esther.batz@contoso.com
Pasquale Bauch;Bauch, Pasquale;Pasquale;Bauch;Contoso Ltd;BaucP;pasquale.bauch;8253;pasquale.bauch@email.com;+233 (789) 846-1047;691 Denesik Common;28530;New Kandaceshire;Maryland;MapleLeaf (floor 5);Community-Services Developer;'~R18d}P;MapleLeaf;8253;4e398a27-7102-4d4a-85d5-0dc4f89d49b5;pasquale.bauch@contoso.com
Randy Bauch;Bauch, Randy;Randy;Bauch;Contoso Ltd;BaucR;randy.bauch;4665;randy.bauch@email.com;+1-787 (773) 271-8397 x998;596 Hayden Glen;01126-6657;Goodwinberg;Pennsylvania;PioneerSquare (floor 5);Lead Banking Coordinator;XDAt~pC3;PioneerSquare;4665;afc67a2d-b2cb-4f27-b763-44c6715852a8;randy.bauch@contoso.com
Theron Bauch;Bauch, Theron;Theron;Bauch;Contoso Ltd;BaucT;theron.bauch;4975;theron.bauch@email.com;+1-441 (902) 447-6529;361 Cole Drive;09545-9953;Swaniawskiburgh;Minnesota;PhinneyRidge (floor 7);Global Administration Consultant;Bz1=K8VT;PhinneyRidge;4975;4ac449a6-6c99-4ed9-9719-98baa7cf3555;theron.bauch@contoso.com
Jerrell Baumbach;Baumbach, Jerrell;Jerrell;Baumbach;Contoso Ltd;BaumJ;jerrell.baumbac;6580;jerrell.baumbach@email.com;+82 831.849.0359 x03588;463 Zboncak Avenue;52902-8428;Loretaton;Colorado;Bellevue (floor 3);International Assistant;r|6gjL}W;Bellevue;6580;39aaa19c-1674-469c-b0a7-0bf233d588ed;jerrell.baumbach@contoso.com
Leon Baumbach;Baumbach, Leon;Leon;Baumbach;Contoso Ltd;BaumL;leon.baumbach;2773;leon.baumbach@email.com;+996 833-302-5407;5858 Hegmann Ridges;39070;Thomasview;Minnesota;MapleLeaf (floor 2);Forward Manufacturing Officer;ZV`*vW5d;MapleLeaf;2773;2e248c2e-653b-4719-997b-41926505e731;leon.baumbach@contoso.com
Remona Baumbach;Baumbach, Remona;Remona;Baumbach;Contoso Ltd;BaumR;remona.baumbach;937;remona.baumbach@email.com;+81 413-199-2420 x150;544 Sanford Mountain;15820;Valorieland;Louisiana;Delridge (floor 9);Product Banking Technician;1z8NK|6v;Delridge;937;f278ee7c-3d00-4a6c-8c2d-91e7ff073a03;remona.baumbach@contoso.com
Scott Baumbach;Baumbach, Scott;Scott;Baumbach;Contoso Ltd;BaumS;scott.baumbach;5782;scott.baumbach@email.com;+31 1-681-449-1001 x16985;4827 Hessel Ranch;40951-0623;Port Arcelia;Arizona;QueenAnneHill (floor 3);Direct Assistant;v1GL`6Ad;QueenAnneHill;5782;c0352ecf-dc27-470d-9aa7-ce274731efdb;scott.baumbach@contoso.com
Isreal Bayer;Bayer, Isreal;Isreal;Bayer;Contoso Ltd;BayeI;isreal.bayer;8012;isreal.bayer@email.com;+675 1-627-730-2728 x54645;325 Boris Road;22955-4972;West Ike;Nevada;Redmond (floor 5);National Agent;{X5uf?Qe;Redmond;8012;2a144710-76c5-4149-b605-2047c9c10d5a;isreal.bayer@contoso.com
Leontine Beahan;Beahan, Leontine;Leontine;Beahan;Contoso Ltd;BeahL;leontine.beahan;7098;leontine.beahan@email.com;+967 1-487-697-1552 x407;25855 Morar Cove;30352-4323;Natashashire;West Virginia;MapleLeaf (floor 2);Construction Architect;*5e|JuM1;MapleLeaf;7098;0327e3b9-fa28-4e57-9b9b-01aaf1b3edd7;leontine.beahan@contoso.com
Marco Beahan;Beahan, Marco;Marco;Beahan;Contoso Ltd;BeahM;marco.beahan;4810;marco.beahan@email.com;+370 695-111-6620 x6441;36314 Hane Isle;28688-9640;Port Chanelmouth;Iowa;Redmond (floor 3);IT Strategist;"efXz""7Lc";Redmond;4810;527069a8-9a3b-46b6-a7a3-986933ee5c37;marco.beahan@contoso.com
Austin Beatty;Beatty, Austin;Austin;Beatty;Contoso Ltd;BeatA;austin.beatty;9667;austin.beatty@email.com;+60 (452) 348-6399 x1807;7291 Hassan Points;21994-6876;Christianville;Virginia;Bellevue (floor 6);Investor Strategist;{cr`3Yq8;Bellevue;9667;3b29477f-75a0-4e3d-9079-d1d8b948895e;austin.beatty@contoso.com
Elmo Beatty;Beatty, Elmo;Elmo;Beatty;Contoso Ltd;BeatE;elmo.beatty;3275;elmo.beatty@email.com;+852 (274) 319-3148 x34083;9724 Kylie Point;28186-6492;Port Eldenside;Massachusetts;Leschi (floor 8);IT Architect;"5;*tLX~Q";Leschi;3275;a420114e-00f4-4d4a-a9aa-ef719bac38bc;elmo.beatty@contoso.com
Jewel Beatty;Beatty, Jewel;Jewel;Beatty;Contoso Ltd;BeatJ;jewel.beatty;9523;jewel.beatty@email.com;+30 (671) 007-8964 x40718;3669 Colin Pines;44351-0879;North Katiashire;Washington;Ballard (floor 9);Future Banking Strategist;REQf4at=;Ballard;9523;efbadaca-f3e0-4a45-a766-b6d6181793ef;jewel.beatty@contoso.com
Steve Beatty;Beatty, Steve;Steve;Beatty;Contoso Ltd;BeatS;steve.beatty;1594;steve.beatty@email.com;+1-264 508-514-6118 x481;83116 Ulrike Walks;28907-8942;North Gabriela;Massachusetts;Bellevue (floor 3);Banking Agent;^Zg~?y4d;Bellevue;1594;885549c5-bd53-4dcb-a29d-f738236f1b29;steve.beatty@contoso.com
Eladia Bechtelar;Bechtelar, Eladia;Eladia;Bechtelar;Contoso Ltd;BechE;eladia.bechtela;6296;eladia.bechtelar@email.com;+1-671 1-635-244-2750 x2755;581 Wunsch Landing;66046-1811;Luischester;Mississippi;MapleLeaf (floor 2);Corporate Analyst;g}R7aKN{;MapleLeaf;6296;3c0bea0b-58e8-47b6-ad5b-1aeb76b63112;eladia.bechtelar@contoso.com
Elisha Bednar;Bednar, Elisha;Elisha;Bednar;Contoso Ltd;BednE;elisha.bednar;5421;elisha.bednar@email.com;+290 (301) 783-6567 x965;83735 Fritsch Curve;22038-8465;Lake Codystad;Wyoming;Pinehurst (floor 1);Forward Education Manager;}3`g'E|m;Pinehurst;5421;3df409cb-995f-48af-80c8-e87e0d4f0e9b;elisha.bednar@contoso.com
Julio Bednar;Bednar, Julio;Julio;Bednar;Contoso Ltd;BednJ;julio.bednar;5129;julio.bednar@email.com;+253 1-405-910-7738 x41780;88644 Lovetta Ports;73148-0372;Elvisberg;Oregon;Madrona (floor 1);Lead Administration Facilitator;CyNzKG^1;Madrona;5129;13e1f708-4c46-4018-b352-486de5921c62;julio.bednar@contoso.com
Alvaro Beier;Beier, Alvaro;Alvaro;Beier;Contoso Ltd;BeieA;alvaro.beier;4686;alvaro.beier@email.com;+220 963-359-1135 x37115;31168 Katelin Knolls;99351;Rafaelmouth;California;Fremont (floor 2);Customer Marketing Strategist;"px;m=j9{";Fremont;4686;f7a89982-f5ca-4bd7-aeca-55f4c88b003d;alvaro.beier@contoso.com
Herb Beier;Beier, Herb;Herb;Beier;Contoso Ltd;BeieH;herb.beier;4017;herb.beier@email.com;+1-242 1-349-606-3844 x529;7887 Candice Brooks;57250-3554;West Shanekaside;Georgia;Northgate (floor 7);IT Developer;iMf=~3te;Northgate;4017;748ca507-0259-427f-8021-9824bef96ab7;herb.beier@contoso.com
Louetta Beier;Beier, Louetta;Louetta;Beier;Contoso Ltd;BeieL;louetta.beier;8098;louetta.beier@email.com;+297 (143) 785-0886 x46632;7964 Mona Landing;47047;North Philip;New Mexico;Bellevue (floor 6);Direct Marketing Planner;*~jRm4MK;Bellevue;8098;552a618d-83ee-45d9-bf31-6c94c0abd480;louetta.beier@contoso.com
Winnie Beier;Beier, Winnie;Winnie;Beier;Contoso Ltd;BeieW;winnie.beier;8732;winnie.beier@email.com;+1-242 1-741-038-1252 x58575;3218 Reynolds Spurs;27665-9227;Britanyberg;Michigan;Wallingford (floor 7);Administration Assistant;"9GNQKM""f";Wallingford;8732;2a4377cc-3b09-465b-b1b9-2a36111adc04;winnie.beier@contoso.com
Gus Bergnaum;Bergnaum, Gus;Gus;Bergnaum;Contoso Ltd;BergG;gus.bergnaum;3942;gus.bergnaum@email.com;+507 (144) 159-7539 x86849;293 Treva Vista;26991;West Denver;Washington;Leschi (floor 5);Legacy Developer;T4b=|zaA;Leschi;3942;9ff60169-be7e-48ef-b344-88735148a0be;gus.bergnaum@contoso.com
Jon Berge;Berge, Jon;Jon;Berge;Contoso Ltd;BergJ;jon.berge;6799;jon.berge@email.com;+372 1-810-719-3369 x50221;796 Rodriguez Port;97034;Lake Ettie;Montana;Pinehurst (floor 1);IT Producer;"7x""3^upF";Pinehurst;6799;b4c339da-4c60-4760-a214-95d9cb1eeb77;jon.berge@contoso.com
Lovie Bergstrom;Bergstrom, Lovie;Lovie;Bergstrom;Contoso Ltd;BergL;lovie.bergstrom;2816;lovie.bergstrom@email.com;+33 1-119-903-7516 x4677;6129 Wilford Drive;56665-7925;Stefanifort;New Jersey;Leschi (floor 9);Direct Community-Services Agent;"f""K^U|S4";Leschi;2816;8624867e-8a71-4991-aefe-714f34c0c69c;lovie.bergstrom@contoso.com
Mariko Bergnaum;Bergnaum, Mariko;Mariko;Bergnaum;Contoso Ltd;BergM;mariko.bergnaum;9210;mariko.bergnaum@email.com;+968 1-658-186-0696 x863;15576 Mica Vista;17387;West Zenobiaville;Connecticut;Bellevue (floor 6);Direct Designer;mWRZ}7e=;Bellevue;9210;10ca4c43-5423-4282-969b-1e36a4511bbf;mariko.bergnaum@contoso.com
Rubin Bergstrom;Bergstrom, Rubin;Rubin;Bergstrom;Contoso Ltd;BergR;rubin.bergstrom;3959;rubin.bergstrom@email.com;+240 295-387-0297 x98833;7015 Barrows Plains;29580-0690;Gottliebville;Louisiana;Wedgewood (floor 7);Government Producer;JP^Lf5A1;Wedgewood;3959;5cac8879-b4b7-46f4-b21e-d8e458013630;rubin.bergstrom@contoso.com
Zack Bergnaum;Bergnaum, Zack;Zack;Bergnaum;Contoso Ltd;BergZ;zack.bergnaum;4575;zack.bergnaum@email.com;+686 (855) 685-3640 x2838;3019 Dibbert Inlet;38526;South Thaddeusmouth;Oregon;PhinneyRidge (floor 3);Internal Accounting Officer;k'W_YLR3;PhinneyRidge;4575;49b89192-d6f8-4625-910f-8bd14a21a563;zack.bergnaum@contoso.com
Antoine Bernhard;Bernhard, Antoine;Antoine;Bernhard;Contoso Ltd;BernA;antoine.bernhar;6190;antoine.bernhard@email.com;+681 791-679-1306 x089;132 Mika Unions;68052-8239;Stromanberg;Illinois;Northgate (floor 1);Central Legal Technician;"7""u;1^9'";Northgate;6190;3c7e1b7d-7041-4543-9410-8b777fba82f3;antoine.bernhard@contoso.com
Bessie Bernhard;Bernhard, Bessie;Bessie;Bernhard;Contoso Ltd;BernB;bessie.bernhard;5007;bessie.bernhard@email.com;+290 (929) 859-2657 x130;28167 Angelyn Village;58218-9700;Stromanside;Minnesota;LakeCity (floor 8);Human Community-Services Executive;KT=6r7fx;LakeCity;5007;8e4ee9dc-4f60-41aa-9146-65f78a0b031c;bessie.bernhard@contoso.com
Hyman Bernier;Bernier, Hyman;Hyman;Bernier;Contoso Ltd;BernH;hyman.bernier;1463;hyman.bernier@email.com;+1-758 928-890-0636 x383;75695 Runte Rest;46457-1525;Boehmton;California;DennyRegrade (floor 2);International Design Associate;"dM_yEG;2";DennyRegrade;1463;da6ed7e6-f834-4752-b340-73531d5ecae0;hyman.bernier@contoso.com
Man Bernier;Bernier, Man;Man;Bernier;Contoso Ltd;BernM;man.bernier;130;man.bernier@email.com;+962 106.401.8101 x811;6251 Onita Parkway;41345;Carmonland;New York;Madrona (floor 3);Administration Engineer;*6wjcvSE;Madrona;130;eee10867-395c-4bda-ab2f-5981d6bf126c;man.bernier@contoso.com
Shanna Bernier;Bernier, Shanna;Shanna;Bernier;Contoso Ltd;BernS;shanna.bernier;3430;shanna.bernier@email.com;+227 1-381-695-7943 x59577;64865 Palmer Skyway;8149;South Sammy;Delaware;Eastlake (floor 8);Community-Services Specialist;|2'QyjVi;Eastlake;3430;00c21484-e315-4531-b1c8-cd5a4087fbf0;shanna.bernier@contoso.com
Thurman Bernier;Bernier, Thurman;Thurman;Bernier;Contoso Ltd;BernT;thurman.bernier;8444;thurman.bernier@email.com;+670 1-348-777-7812 x569;6123 Phoebe Shores;33005-7400;Denesikfurt;Oklahoma;Eastlake (floor 7);Advertising Engineer;N=JP`?4W;Eastlake;8444;b71a7717-994c-43d7-9c3a-508d1faa96c6;thurman.bernier@contoso.com
Reginald Blanda;Blanda, Reginald;Reginald;Blanda;Contoso Ltd;BlanR;reginald.blanda;9831;reginald.blanda@email.com;+1-473 201.458.4182 x656;34362 Muller Groves;46989-8932;Terenceshire;Arizona;Delridge (floor 8);Community-Services Officer;b8}{yL|N;Delridge;9831;0610962f-06ab-40ab-bc2f-665fd3476430;reginald.blanda@contoso.com
Debrah Blick;Blick, Debrah;Debrah;Blick;Contoso Ltd;BlicD;debrah.blick;6715;debrah.blick@email.com;+596 501.904.5566 x5083;4615 Kuhlman Stream;49517;Hermannside;Iowa;Fremont (floor 5);Global Officer;67^UwD*H;Fremont;6715;1a92ad76-80e3-49d2-bbd5-aa730a3be486;debrah.blick@contoso.com
