Name;samAccountName;title;Company;Description;EmployeeId;DisplayName;Mailnickname;UserPrincipalName;City;CompanyName;Country;Department;JobTitle;OfficeLocation;mobilePhone;preferredLanguage
Islington;islington;Support Engineer;Contoso;Islington;28;Islington;islington;islington@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Islington;+44 (020) 7719 645;en-GB
Kensington;kensington;Support Engineer;Contoso;Kensington;29;Kensington;kensington;kensington@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Kensington;+44 (020) 7719 646;en-GB
Lambeth;lambeth;Support Engineer;Contoso;Lambeth;30;Lambeth;lambeth;lambeth@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Lambeth;+44 (020) 7719 647;en-GB
Merton;merton;Support Engineer;Contoso;Merton;31;Merton;merton;merton@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Merton;+44 (020) 7719 648;en-GB
Newham;newham;Support Engineer;Contoso;Newham;32;Newham;newham;newham@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Newham;+44 (020) 7719 649;en-GB
Redbridge;redbridge;Support Engineer;Contoso;Redbridge;33;Redbridge;redbridge;redbridge@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Redbridge;+44 (020) 7719 650;en-GB
Southwark;southwark;Support Engineer;Contoso;Southwark;34;Southwark;southwark;southwark@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Southwark;+44 (020) 7719 651;en-GB
Bexley;bexley;Support Engineer;Contoso;Bexley;41;Bexley;bexley;bexley@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Bexley;+44 (020) 7719 653;en-GB
Brent;brent;Support Engineer;Contoso;Brent;42;Brent;brent;brent@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Brent;+44 (020) 7719 654;en-GB
Bromley;bromley;Support Engineer;Contoso;Bromley;43;Bromley;bromley;bromley@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Bromley;+44 (020) 7719 655;en-GB
Camden;camden;Support Engineer;Contoso;Camden;44;Camden;camden;camden@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Camden;+44 (020) 7719 656;en-GB
Croydon;croydon;Support Engineer;Contoso;Croydon;45;Croydon;croydon;croydon@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Croydon;+44 (020) 7719 657;en-GB
Enfield;enfield;Support Engineer;Contoso;Enfield;46;Enfield;enfield;enfield@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Enfield;+44 (020) 7719 658;en-GB
Hammersmith ;hammersmith ;Support Engineer;Contoso;Hammersmith ;47;Hammersmith ;hammersmith ;hammersmith@powershell.world ;London;Contoso;GB;London IT Support;Support Engineer;Hammersmith ;+44 (020) 7719 659;en-GB
Haringey;haringey;Support Engineer;Contoso;Haringey;48;Haringey;haringey;haringey@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Haringey;+44 (020) 7719 660;en-GB
Harrow;harrow;Support Engineer;Contoso;Harrow;49;Harrow;harrow;harrow@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Harrow;+44 (020) 7719 661;en-GB
Havering;havering;Support Engineer;Contoso;Havering;50;Havering;havering;havering@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Havering;+44 (020) 7719 662;en-GB
Hillingdon;hillingdon;Support Engineer;Contoso;Hillingdon;51;Hillingdon;hillingdon;hillingdon@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Hillingdon;+44 (020) 7719 663;en-GB
Hounslow;hounslow;Support Engineer;Contoso;Hounslow;52;Hounslow;hounslow;hounslow@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Hounslow;+44 (020) 7719 664;en-GB
Lewisham;lewisham;Support Engineer;Contoso;Lewisham;53;Lewisham;lewisham;lewisham@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Lewisham;+44 (020) 7719 665;en-GB
